Text,Polarity,Label
online fine  forget second pc vacation dea crashed yrs awhile,Depression,1
aww run lucky girls cute town hospital visit black ticket,Non Depression,0
sorry lt thanks  hear  pretty  eat  around  awww  hungry gave,Depression,1
oh  win  date waste  stage  cats  crack  contact  poop  editing,Depression,1
really  im  next  wont  half  mad  episode  reason  loved  hills,Non Depression,0
mom  omg  r  alarm  asked  matter  difference  lmfao  knight  shoulda,Depression,1
still  feeling  hour  busy  tummy  email  dark  migraine  emails,Depression,1
see  missed  stupid bring  spend  book  bus  replies  feed  tons,Depression,1
looking  least  feels  forward  slept  ppl  garden  via  blackberry  happening,Non Depression,0
hours  thing  kinda  face  worse  past  words  swollen  leg  cooking,Non Depression,0
w  david  super  g  dear  realized  store  june  losing  walking,Depression,1
left  say  broke  came  machine  empty  ordered  driver  belly  pbr,Depression,1
needs  rest  paper  nite  excited  red  wishes  agree  fixed  joy,Depression,1
na  wan  man  something  wrong  turned  train  decided  special  iz,Non Depression,0
wow  times  full  minutes hi  wtf  road  add  posted  um,Non Depression,0
back  though  guess  give  pain  dad  nah  doctor  grammar  girl  craigmiller,Depression,1
early  yet  hurts  hell  doubt  dreaming  beauty  spots  assembly  shineonmedia,Depression,1
way  ugh  best  learn  pizza  although  mouth  apps  language  trend,Non Depression,0
haha  listening  high  wit  puppy  bro  poo  oooh  drama  covered,Non Depression,0
looks  like  internet  stuck  f  sound  goin  hang  green  ny,Depression,1
mean  office  happen  hit  problem  felt  london  none  confused  myspace,Depression,1
stop  watched  months  ah  crying  funny  non  itunes  cousin  australia,Depression,1
think  done  crap  k  chance  nope  minute  bar  fish  twit,Non Depression,0
gone  boring  com  pics  small  living  lie  library  straight  asap,Non Depression,0
one  x  hahaha  mins  mileycyrus  loves  files  session  impossible  file,Non Depression,0
little  first  let  baby  cry  beach  low  foot  screaming  boooo,Depression,1
work  tired  poor  yay  worst  eyes  yup  tough  schedule  fault,Depression,1
time  hair  studying  taking  next  mac  plus  waking  uni  closed,Non Depression,0
last  night  hope  nothing  wake  shame  shower  bloody  miserable  crab,Depression,1
longer  yea  heading  turn  nobody  message  taken  failed  middle  direct,Depression,1
hate  fun  ass  city  completely  ps  hes  access  websites  soda,Depression,1
made  end  th  happened  hmm  eye  books  easy  glasses  third,Non Depression,0
wish  come  happy  another  wait  weather  hot  birthday  nd  dry,Non Depression,0
"u  would  make  tho  guys  hey  saw  cuz  upset  meet""",Depression,1
know  gon  na  ever  actually  hurt  keep  read  probably  music,Depression,1
today  getting  leave  study  gt  sleepy  annoyed  group  easily  campus,Depression,1
home  could  someone  almost  fire  kicked  street  jumped  jenny  shoe,Depression,1
sounds  horrible  text  fair  sent  craigmiller  silentxcollapse  sundance  gabeatkins  williamjamescox,Depression,1
days  thats  break  argh  door  spring  noes  large  manage  scratch,Non Depression,0
bed  sick  coming  cause  sitting  means  glad  spent  hmmm  stand,Depression,1
ouch  isnt  word  pick  pictures  worked  couldnt  law  picked  station,Depression,1
us  things  terrible  sadly  dude  em  looked  killed  drunk  dentist,Depression,1
whole  gets  doesnt  e  worth  wet  art  trouble  somebody  assignment,Depression,1
right  crazy  page  except  officially  screen  min  pray  shoot  yo,Depression,1
working  old  class  playing  update  gym  cos  picture  fat  weight,Depression,1
week  put  food  seen  sometimes  havent  dang  dvd  bet  chicken,Non Depression,0
yesterdaym  look  movie  killing  shop  awwh  agtherealist  williamjamescox  gabeatkins  craigmiller,Depression,1
twitter  phone  said  tickets  soooo  close  disappointed  using  hotel  plane,Depression,1
bit farsoo startrek film supposepopohh rains,Non Depression,0
alwayssince waiting saturday seriouslyafternoon airsouthgigdc,Non Depression,0
findalso summerjobbodyspamclockmacbook technote,Non Depression,0
lostableloseaccount photosdelete comments njunderwoodagtherealist,Depression,1
canthouseshowanymorefamilydog earlier somewherecaught safe,Non Depression,0
friendlonely mind kittyuhspot holefavourite sale important,Depression,1
nb c pideaanyway h ngchflash,Non Depression,0
love  year  sure  money  sweet  huge  tommcfly  line  anywhere  ed,Non Depression,0
went  ago  finished  month  open  drink  milk  paris  delicious  europe,Non Depression,0
trying  everyone  didnt  many  call  updates  figure  youtube  inside  double,Non Depression,0
might else uk plan stress business liked  massive  pet wah,Depression,1
ill tell later ya  aw story pay badly bill workin,Depression,1
hard stuff test move seem comes thinks death finding control,Depression,1
tomorrow life nice sooo raining place eating news called enjoy,Non Depression,0
friends alone cleaning rip packing hurting company turns known shitty,Depression,1
get school sucks mine fall games four cash atleast brutal,Depression,1
good  amp  well  english  v  understand  client  boss  written  writer,Non Depression,0
want  long  head  may  seems  stay  cough  gear  ignoring  hoo,Depression,1
sunday  room  years  couple  ache  ha  favorite  ear  classes  alot,Non Depression,0
boo  fail  tried  dead  name  trip  tom  outta  telling  ages,Depression,1
buy  cool  luck  lunch  behind  xxx  eaten  background  q  steak,Non Depression,0
lol  yeah  got  ta  awake  suck  bout  scary  crappy  dunno,Depression,1
away  cold  woke  without  flu  apparently  takes  fight  others  type,Non Depression,0
making  totally  coffee  sigh  free  check  fb  ipod  top  list,Non Depression,0
wanted  headache  weeks  unfortunately  holiday  told  kids  three  change  son,Depression,1
asleep  danny  fell  thank  forever  thursday  chat  wasnt  sell  ms,Non Depression,0
bored  yes  weird  die  shut  loss  awwww  hun  needed  taste,Depression,1
every  heart  instead  broken  hoping  ahh  tuesday  moms  wednesday,Depression,1
sad  leaving  water  parents  team  lately  da  service  bottle  shes,Depression,1
morning  start  wants  died  world  dream  worried  knee  fucked  kick,Depression,1
dont  damn  please  play  song  course  dance  fav  craigmiller  girlishoutline,Non Depression,0
sleep  tonight  never  tweets  link  goodnight  xoxo  decent  rude  twitters,Depression,1
great  ready  shit  started  reading  lots  lmao  knew  ask  bedtime,Non Depression,0
going  already  soon  ok  thought  live  video  fix  shopping  self,Non Depression,0
got  much  thinking  til  ate  gah  order  clothes  wat  size,Non Depression,0
need  feel  better  take  seeing  basically  rules  gabeatkins  craigmiller  agtherealist,Non Depression,0
must  breakfast  walk  mum  fast  happens  yr  hello  stayed  hold,Non Depression,0
must  breakfast  walk  mum  fast  happens  yr  hello  stayed  hold,Non Depression,0
anything  ur  bank  bought  wonder  shirt  legs  arms  kitchen  bc,Depression,1
anything  ur  bank  bought  wonder  shirt  legs  arms  kitchen  bc,Depression,1
big  late  outside  okay  computer  windows  site  hubby  answer  light,Non Depression,0
miss  quot  watching  makes  fuck  chocolate  ice  cream  grand  league,Non Depression,0
people  help  car  beautiful  french  dreams  accident  ends  anybody  woken,Depression,1
missing  girl  found  awesome  less  boy  kind  quiet  interesting  txt,Depression,1
god  party  heard  rather  send  ones  hug  cried  rd  messages,Depression,1
tweet  goes  hopefully  ive  reply  write  nearly  website  pulled  teeth,Depression,1
monday  till  hand  fit  bag  wonderful  breaking  ring  tiny  gossip,Non Depression,0
go  exam  anyone  finale  park  screwed  afraid  woman  booooo  tomoro,Non Depression,0
says  guy  sat  jus  magic  reality  ahead  usual  chill  dun,Non Depression,0
even enough  everything  brother  care  annoying  definitely  depressing  def  kno,Depression,1
new  forgot  try  used  cook  ap  allergies  blue  terribly  password,Depression,1
like  watch  two  season  game  finally  use  shows  starts  staying,Non Depression,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
